Gestiune	Denumire grupa	Denumire	Cod	UM	Valuta	SD
Gestiunea 01	Cooler Master	Cooler Master Devastator II US Blue LED Kit Gaming Keyboard + Optical Mouse (SGB3030KKMF)	SGB-3030-KKMF1	Buc	USD	47
Gestiunea 01	Cooler Master	Cooler Master EU MasterWatt 65 NB A EU Cable (MPX651M19YB)	MPX-0651-M19YB	Buc	USD	11
Gestiunea 01	Cooler Master	Cooler Master EU MasterWatt 90 NB A EU Cable (MPX901M19YB)	MPX-0901-M19YB	Buc	USD	12
Gestiunea 01	Cooler Master	Cooler Master HYPER 412S (RRH41213FK1)	RR-H412-13FK-R1	Buc	USD	23
Gestiunea 01	Cooler Master	Cooler Master HYPER 612 VER 2 (RRH6V213PK1)	RR-H6V2-13PK-R1	Buc	USD	6
Gestiunea 01	Cooler Master	Cooler Master Notepal (MXSTS20FNR1)	MNX-SMTS-20FN-R1	Buc	USD	10
Gestiunea 01	Deepcool	Deepcool 120LY Clear 120mm Yellow LED	DP-XF120LY	Buc	USD	11
Gestiunea 01	Deepcool	Deepcool 120U B/B BLue 120mm  Blue LED fan	DP-XF120UBB	Buc	USD	55
Gestiunea 01	Deepcool	Deepcool Alta 7	DP-ALTA7	Buc	USD	9
Gestiunea 01	Deepcool	Deepcool Alta 9	DP-ALTA9	Buc	USD	57
Gestiunea 01	Deepcool	Deepcool Assassin 2 (DPASSASSIN2)	DP-ASSASSIN2	Buc	USD	15
Gestiunea 01	Deepcool	Deepcool Backpack	DP-BACKPACK	Buc	USD	30
Gestiunea 01	Deepcool	Deepcool Beta 10 CPU Cooler	DP-BETA10	Buc	USD	10
Gestiunea 01	Deepcool	DEEPCOOL CAPTAIN 120 EX	DP-CPT120EX	Buc	USD	11
Gestiunea 01	Deepcool	DEEPCOOL CAPTAIN 240 EX	DP-CPT240EX	Buc	USD	19
Gestiunea 01	Deepcool	Deepcool CAPTAIN 360 EX	DP-CPT360EX	Buc	USD	12
Gestiunea 01	Deepcool	Deepcool Catalogue	DP-CATALOG	Buc	USD	70
Gestiunea 01	Deepcool	Deepcool CK-11508	DP-CK11508	Buc	USD	69
Gestiunea 01	Deepcool	Deepcool CK-11509	DP-CK11509	Buc	USD	77
Gestiunea 01	Deepcool	Deepcool D-SHIELD Mid Tower Case	DP-D-SHIELD	Buc	USD	94
Gestiunea 01	Deepcool	Deepcool DA500 500W PSU (DP-BZDA500N)	DP-BZ-DA500N	Buc	USD	1
Gestiunea 01	Deepcool	Deepcool DA550 500W PSU Full Modular	DP-BZ-DA500-MFM	Buc	USD	1
Gestiunea 01	Deepcool	Deepcool DA600 600W PSU (DP-BZDA600N)	DP-BZ-DA600N	Buc	USD	20
Gestiunea 01	Deepcool	Deepcool DE430 430W PSU Black	DP-DE430-BK	Buc	USD	220
Gestiunea 01	Deepcool	Deepcool DE480 480W PSU Black	DP-DE480-BK	Buc	USD	216
Gestiunea 01	Deepcool	Deepcool DE530 530W PSU Black	DP-DE530-BK	Buc	USD	30
