HierarchyNameLevel1;HierarchyNameLevel2;HierarchyNameLevel3;ProductId;PartNumber;Name;Price;PriceSRP;CurrencyId;MinorGroup;Available;CopyrightFee;RecyclingFee;FeesCurrencyId;BarCodeType;BarCode;Warranty;AvailableExternal
Sony - Televizoare;Televizoare;Televizor LED;C8311090;KDL65W855CBAEP;Television Sony KDL65W855C;56.460.700;55.735.900;RON;Televizoare;-;;;;EAN13;4,54874E+12;Garan?ie acordatã de producãtor, 24 de luni;-
Sony - Televizoare;Televizoare;Televizor LED;C8311107;KD49X8309CBAEP;Television Sony KD49X8309C;36.277.600;34.831.300;RON;Televizoare;-;;;;EAN13;4,54874E+12;Garan?ie acordatã de producãtor, 24 de luni;-
Sony - Televizoare;Televizoare;Televizor LED;C8311130;KD65XD8505BAEP;Television Sony KD65XD8505B;74.845.000;73.883.000;RON;Televizoare;-;;;;EAN13;4,54874E+12;Garan?ie acordatã de producãtor, 24 de luni;-
Sony - Televizoare;Televizoare;Televizor LED;C8311135;KD85XD8505BAEP;Television Sony KD85XD8505B;350.989.800;346.464.600;RON;Televizoare;-;;;;EAN13;4,54874E+12;Garan?ie acordatã de producãtor, 24 de luni;-
Sony - Televizoare;Televizoare;Televizor LED;C8311141;KDL40WD650BAEP;Television Sony KDL40WD650B;16.509.800;16.300.500;RON;Televizoare;-;;;;EAN13;4,54874E+12;Garan?ie acordatã de producãtor, 24 de luni;-
Sony - Televizoare;Televizoare;Televizor LED;C8311143;KDL48WD655BAEP;Television Sony KDL48WD655B;21.086.800;20.818.500;RON;Televizoare;+;;;;EAN13;4,54874E+12;Garan?ie acordatã de producãtor, 24 de luni;-
Sony - Televizoare;Televizoare;Televizor LED;C8311158;KDL40WD655BAEP;Television Sony KDL40WD655B;17.917.100;17.689.600;RON;Televizoare;-;;;;EAN13;4,54874E+12;Garan?ie acordatã de producãtor, 24 de luni;-
Sony - Televizoare;Televizoare;Televizor LED;C8311159;KDL40RD450B;Television Sony KDL40RD450B;13.986.700;13.809.900;RON;Televizoare;-;;;;EAN13;4,54874E+12;Garan?ie acordatã de producãtor, 24 de luni;-
Sony - Televizoare;Televizoare;Televizor LED;C8311160;KD49XD7005;Television Sony KD49XD7005;29.708.400;29.328.800;RON;Televizoare;-;;;;EAN13;4,54874E+12;Garan?ie acordatã de producãtor, 24 de luni;-
Sony - Televizoare;Televizoare;Televizor LED;C8311162;KD43XE8005BAEP;Television Sony KD43XE8005BAEP;38.177.900;37.689.000;RON;Televizoare;-;;;;EAN13;4,54874E+12;Garan?ie acordatã de producãtor, 24 de luni;-
